"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0141052","MF","GO:0141052","histone H3 demethylase activity","2/17","28/18496",0.00029636260272515,0.00533737864383293,0.0033470683544753,"UTY/KDM5D",2
"GO:0032452","MF","GO:0032452","histone demethylase activity","2/17","30/18496",0.000340683743223379,0.00533737864383293,0.0033470683544753,"UTY/KDM5D",2
"GO:0140457","MF","GO:0140457","protein demethylase activity","2/17","30/18496",0.000340683743223379,0.00533737864383293,0.0033470683544753,"UTY/KDM5D",2
"GO:0032451","MF","GO:0032451","demethylase activity","2/17","40/18496",0.000607589010552991,0.00713917087399764,0.00447697165670625,"UTY/KDM5D",2
"GO:0016706","MF","GO:0016706","2-oxoglutarate-dependent dioxygenase activity","2/17","60/18496",0.00136394494103119,0.0128210824456932,0.00804009649449963,"UTY/KDM5D",2
"GO:0000803","CC","GO:0000803","sex chromosome","2/16","35/19886",0.000355572954252938,0.0131561993073587,0.00786003372559127,"XIST/TSIX",2
"GO:0051213","MF","GO:0051213","dioxygenase activity","2/17","93/18496",0.00323838717177448,0.0253673661789001,0.0159078668087167,"UTY/KDM5D",2
"GO:0009048","BP","GO:0009048","dosage compensation by inactivation of X chromosome","2/16","31/18870",0.000308968166909975,0.02786328717766,0.0195531839843228,"XIST/TSIX",2
"GO:0007549","BP","GO:0007549","dosage compensation","2/16","33/18870",0.000350481599718994,0.02786328717766,0.0195531839843228,"XIST/TSIX",2
"GO:0005200","MF","GO:0005200","structural constituent of cytoskeleton","2/17","112/18496",0.00465745307664441,0.0312714706574696,0.0196103287437659,"KRT14/KRT6A",2
