"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046348","BP","GO:0046348","amino sugar catabolic process","2/13","15/18870",4.57718500912358e-05,0.0207804199414211,0.012816118025546,"CHI3L1/CHI3L2",2
"GO:1901071","BP","GO:1901071","glucosamine-containing compound metabolic process","2/13","25/18870",0.000130269398389591,0.0220419889286568,0.0135941781938852,"CHI3L1/CHI3L2",2
"GO:0090322","BP","GO:0090322","regulation of superoxide metabolic process","2/13","31/18870",0.000201447262490757,0.0220419889286568,0.0135941781938852,"FPR2/H19",2
"GO:0003382","BP","GO:0003382","epithelial cell morphogenesis","2/13","33/18870",0.000228562392524498,0.0220419889286568,0.0135941781938852,"GRHL2/STC1",2
"GO:0006026","BP","GO:0006026","aminoglycan catabolic process","2/13","34/18870",0.000242753182033665,0.0220419889286568,0.0135941781938852,"CHI3L1/CHI3L2",2
"GO:0006040","BP","GO:0006040","amino sugar metabolic process","2/13","42/18870",0.000371411230090496,0.0281034497435142,0.0173325240708898,"CHI3L1/CHI3L2",2
"GO:0006305","BP","GO:0006305","DNA alkylation","2/13","50/18870",0.000526790431060353,0.029895356962675,0.0184376650871123,"SPOCD1/GRHL2",2
"GO:0006306","BP","GO:0006306","DNA methylation","2/13","50/18870",0.000526790431060353,0.029895356962675,0.0184376650871123,"SPOCD1/GRHL2",2
"GO:0140375","MF","GO:0140375","immune receptor activity","2/11","147/18496",0.00329205991459116,0.0313081547087695,0.0149799783295548,"FPR2/IL1R2",2
"GO:0030246","MF","GO:0030246","carbohydrate binding","2/11","273/18496",0.0109339209571651,0.0343637515796616,0.016441986401752,"CHI3L1/CHI3L2",2
