"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","CC","GO:0062023","collagen-containing extracellular matrix","7/55","429/19886",0.000171977531479631,0.017044241486393,0.0121744582045665,"HAPLN1/SFRP2/COL1A1/SERPINA1/MARCO/FGF10/OGN",7
"GO:0001664","MF","GO:0001664","G protein-coupled receptor binding","5/53","291/18496",0.0014417985275762,0.0488675859235269,0.0374614217033902,"GRM5/MARCO/FPR1/CCL19/CCL2",5
"GO:0043679","CC","GO:0043679","axon terminus","4/55","113/19886",0.000269634424167566,0.017044241486393,0.0121744582045665,"GAD1/CALB1/SLC32A1/CPLX4",4
"GO:0044306","CC","GO:0044306","neuron projection terminus","4/55","129/19886",0.000446211802566877,0.017044241486393,0.0121744582045665,"GAD1/CALB1/SLC32A1/CPLX4",4
"GO:0140375","MF","GO:0140375","immune receptor activity","4/53","147/18496",0.000828859317660617,0.0411674840293127,0.0315585975968415,"FCGR3A/FCGR1A/FPR1/CSF2RB",4
"GO:0098982","CC","GO:0098982","GABA-ergic synapse","3/55","79/19886",0.00136438736321963,0.0318357051417914,0.0227397893869939,"GAD1/CALB1/SLC32A1",3
"GO:0005581","CC","GO:0005581","collagen trimer","3/55","86/19886",0.00174179654438763,0.0348359308877526,0.0248828077769662,"C1QL3/COL1A1/MARCO",3
"GO:0015179","MF","GO:0015179","L-amino acid transmembrane transporter activity","3/53","66/18496",0.000894945304985059,0.0411674840293127,0.0315585975968415,"SLC32A1/SLC6A5/SLC22A2",3
"GO:0015171","MF","GO:0015171","amino acid transmembrane transporter activity","3/53","85/18496",0.00185909294274287,0.0488675859235269,0.0374614217033902,"SLC32A1/SLC6A5/SLC22A2",3
"GO:0060198","CC","GO:0060198","clathrin-sculpted vesicle","2/55","12/19886",0.000486978328182658,0.017044241486393,0.0121744582045665,"GAD1/SLC32A1",2
